"TABLE_NAME","COLUMN_NAME","DATA_TYPE","CHARACTER_MAXIMUM_LENGTH","IS_NULLABLE","IS_PK","IS_GUID"
"PdbTrendInfo","CreatorGuid","nvarchar","20","YES","","GUID"
"PdbTrendInfo","SynchWriteDate","datetime","","YES","",""
"PdbTrendInfo","StatFlg","int","","YES","",""
"PdbTrendInfo","bLocked","tinyint","","YES","",""
"PdbTrendInfo","LockInfo","nvarchar","-1","YES","",""
"PdbUserAccount","UserGUID","nvarchar","20","NO","PK","GUID"
"PdbUserAccount","UserName","nvarchar","80","YES","",""
"PdbUserAccount","FullName","nvarchar","160","YES","",""
"PdbUserAccount","Description","nvarchar","160","YES","",""
"PdbUserAccount","Passwrd","nvarchar","120","YES","",""
"PdbUserAccount","Privilege","int","","YES","",""
"PdbUserAccount","bUserMustChange","int","","YES","",""
"PdbUserAccount","bUserCannotChange","int","","YES","",""
"PdbUserAccount","bAccountDisabled","int","","YES","",""
"PdbUserAccount","DateModified","datetime","","YES","",""
"PdbUserAccount","DateCreated","datetime","","YES","",""
"PdbUserAccount","DateSynch","datetime","","YES","",""
"PdbUserAccount","bIsDel","int","","YES","",""
"PdbUserAccount","DeleteInfo","nvarchar","62","YES","",""
"PdbUserAccount","RegionGuid","nvarchar","20","YES","","GUID"
"PdbUserAccount","RegionDate","datetime","","YES","",""
"PdbUserAccount","PhoneNo","nvarchar","-1","YES","",""
"PdbUserAccount","Email","nvarchar","-1","YES","",""
"PdbUserAccount","CustomInfo1","nvarchar","-1","YES","",""
"PdbUserAccount","CustomInfo2","nvarchar","-1","YES","",""
"PdbUserAccount","CustomInfo3","nvarchar","-1","YES","",""
"PdbUserAccount","LastModBy","nvarchar","20","YES","",""
"PdbUserAccount","CreatorGuid","nvarchar","20","YES","","GUID"
"PdbUserAccount","PswdChngDate","datetime","","YES","",""
"PdbUserAccount","PrevPasswrd1","nvarchar","120","YES","",""
"PdbUserAccount","PrevPasswrd2","nvarchar","120","YES","",""
"PdbUserAccount","PrevPasswrd3","nvarchar","120","YES","",""
"PdbUserAccount","PrevPasswrd4","nvarchar","120","YES","",""
"PdbUserAccount","FeatureMask","int","","YES","",""
"PdbUserAccount","AdSid","nvarchar","200","YES","",""
"PdbUserAccount","SynchWriteDate","datetime","","YES","",""
"PdbUserAccount","StatFlg","int","","YES","",""
"PdbUserAccount","bLocked","tinyint","","YES","",""
"PdbUserAccount","LockInfo","nvarchar","-1","YES","",""
"Relay","RelayGUID","nvarchar","20","NO","PK","GUID"
"Relay","RelayName","nvarchar","80","YES","",""
"Relay","AssetID","nvarchar","80","YES","",""
"Relay","BarcodeId","nvarchar","80","YES","",""
"Relay","DeviceGUID","nvarchar","20","YES","","GUID"
"Relay","Org1","nvarchar","80","YES","",""
"Relay","Org2","nvarchar","80","YES","",""
"Relay","Org3","nvarchar","80","YES","",""
"Relay","Org4","nvarchar","80","YES","",""
"Relay","Org5","nvarchar","80","YES","",""
"Relay","Org6","nvarchar","80","YES","",""
"Relay","Org7","nvarchar","80","YES","",""
"Relay","Org8","nvarchar","80","YES","",""
"Relay","ModDate","datetime","","YES","",""
"Relay","CreateDate","datetime","","YES","",""
"Relay","LastTestDate","datetime","","YES","",""
"Relay","MaintPeriod","int","","YES","",""
"Relay","Notes","nvarchar","80","YES","",""
"Relay","LastResultsGUID","nvarchar","20","YES","","GUID"
"Relay","PrimaryGroup","nvarchar","16","YES","",""
"Relay","CustCompanyGUID","nvarchar","20","YES","","GUID"
"Relay","CustAddrGUID","nvarchar","20","YES","","GUID"
"Relay","UserCompanyGUID","nvarchar","20","YES","","GUID"
"Relay","UserAddrGUID","nvarchar","20","YES","","GUID"
"Relay","EqmtAddrGUID","nvarchar","20","YES","","GUID"
"Relay","DateSynch","datetime","","YES","",""
"Relay","bIsDel","int","","YES","",""
"Relay","DeleteInfo","nvarchar","62","YES","",""
"Relay","RegionGuid","nvarchar","20","YES","","GUID"
"Relay","RegionDate","datetime","","YES","",""
"Relay","EqType","nvarchar","50","YES","",""
"Relay","LastModBy","nvarchar","20","YES","",""
"Relay","CreatorGuid","nvarchar","20","YES","","GUID"
"Relay","ParentID","nvarchar","20","YES","",""
"Relay","OrderKey","int","","YES","",""
"Relay","InstallDate","datetime","","YES","",""
"Relay","EqCatNERC","int","","YES","",""
"Relay","EqCatFERC","int","","YES","",""
"Relay","EqCat1","int","","YES","",""
"Relay","EqCat2","int","","YES","",""
"Relay","EqCat3","int","","YES","",""
"Relay","EqCat4","int","","YES","",""
"Relay","BarcodeEx","nvarchar","-1","YES","",""
"Relay","DrawingNumber","nvarchar","50","YES","",""
"Relay","GpsLat","float","","YES","",""
"Relay","GpsLong","float","","YES","",""
"Relay","FolderGUID","nvarchar","20","YES","","GUID"
"Relay","OrderWeight","int","","YES","",""
"Relay","RetiredDate","datetime","","YES","",""
"Relay","eServiceStatus","int","","YES","",""
"Relay","SynchWriteDate","datetime","","YES","",""
"Relay","StatFlg","int","","YES","",""
"Relay","bLocked","tinyint","","YES","",""
"Relay","LockInfo","nvarchar","-1","YES","",""
"Relay_Org","OrgLevel","int","","NO","PK",""
"Relay_Org","Label","nvarchar","40","YES","",""
"Relay_Org_GroupLabels","GroupLabel_Org1","nvarchar","16","YES","",""
"Relay_Org_GroupLabels","GroupLabel_Org2","nvarchar","16","YES","",""
"Relay_Org_GroupLabels","GroupLabel_Org3","nvarchar","16","YES","",""
"Relay_Org_GroupLabels","GroupLabel_Org4","nvarchar","16","YES","",""
"Relay_Org_GroupLabels","GroupLabel_Org5","nvarchar","16","YES","",""
"Relay_Org_GroupLabels","GroupLabel_Org6","nvarchar","16","YES","",""
"Relay_Org_GroupLabels","GroupLabel_Org7","nvarchar","16","YES","",""
"Relay_Org_GroupLabels","GroupLabel_Org8","nvarchar","16","YES","",""
"Relay_Settings","RelayGUID","nvarchar","20","NO","PK","GUID"
"Relay_Settings","GroupName","nvarchar","40","NO","PK",""
"Relay_Settings","SettingName","nvarchar","40","NO","PK",""
"Relay_Settings","Comments","nvarchar","255","YES","",""
"Relay_Settings","GroupOrder","int","","YES","",""
"Relay_Settings","SettingOrder","int","","YES","",""
"Relay_Settings","EnumStrings","nvarchar","255","YES","",""
"Relay_Settings","TypeOfData","nvarchar","50","YES","",""
"Relay_Settings","MinValue","float","","YES","",""
"Relay_Settings","MaxValue","float","","YES","",""
"Relay_Settings","DoubleValue","float","","YES","",""
"Relay_Settings","StringValue","nvarchar","80","YES","",""
"Relay_Settings","bInitialized","int","","YES","",""
"RelayArchive","RelayGUID","nvarchar","20","NO","PK","GUID"
"RelayArchive","ModDate","datetime","","NO","PK",""
"RelayArchive","RelayName","nvarchar","80","YES","",""
"RelayArchive","AssetID","nvarchar","80","YES","",""
"RelayArchive","BarcodeId","nvarchar","80","YES","",""
"RelayArchive","DeviceGUID","nvarchar","20","YES","","GUID"
"RelayArchive","Org1","nvarchar","80","YES","",""
"RelayArchive","Org2","nvarchar","80","YES","",""
"RelayArchive","Org3","nvarchar","80","YES","",""
"RelayArchive","Org4","nvarchar","80","YES","",""
"RelayArchive","Org5","nvarchar","80","YES","",""
"RelayArchive","Org6","nvarchar","80","YES","",""
"RelayArchive","Org7","nvarchar","80","YES","",""
"RelayArchive","Org8","nvarchar","80","YES","",""
"RelayArchive","CreateDate","datetime","","YES","",""
"RelayArchive","LastTestDate","datetime","","YES","",""
"RelayArchive","MaintPeriod","int","","YES","",""
"RelayArchive","Notes","nvarchar","80","YES","",""
"RelayArchive","LastResultsGUID","nvarchar","20","YES","","GUID"
"RelayArchive","PrimaryGroup","nvarchar","16","YES","",""
"RelayArchive","CustCompanyGUID","nvarchar","20","YES","","GUID"
"RelayArchive","CustAddrGUID","nvarchar","20","YES","","GUID"
"RelayArchive","UserCompanyGUID","nvarchar","20","YES","","GUID"
"RelayArchive","UserAddrGUID","nvarchar","20","YES","","GUID"
"RelayArchive","EqmtAddrGUID","nvarchar","20","YES","","GUID"
"RelayArchive","DateSynch","datetime","","YES","",""
"RelayArchive","bIsDel","int","","YES","",""
"RelayArchive","DeleteInfo","nvarchar","62","YES","",""
"RelayArchive","RegionGuid","nvarchar","20","YES","","GUID"
"RelayArchive","RegionDate","datetime","","YES","",""
"RelayArchive","EqType","nvarchar","50","YES","",""
"RelayArchive","LastModBy","nvarchar","20","YES","",""
"RelayArchive","CreatorGuid","nvarchar","20","YES","","GUID"
"RelayArchive","ParentID","nvarchar","20","YES","",""
"RelayArchive","OrderKey","int","","YES","",""
"RelayArchive","InstallDate","datetime","","YES","",""
"RelayArchive","EqCatNERC","int","","YES","",""
"RelayArchive","EqCatFERC","int","","YES","",""
"RelayArchive","EqCat1","int","","YES","",""
"RelayArchive","EqCat2","int","","YES","",""
"RelayArchive","EqCat3","int","","YES","",""
"RelayArchive","EqCat4","int","","YES","",""
"RelayArchive","BarcodeEx","nvarchar","-1","YES","",""
"RelayArchive","DrawingNumber","nvarchar","50","YES","",""
"RelayArchive","GpsLat","float","","YES","",""
"RelayArchive","GpsLong","float","","YES","",""
"RelayArchive","FolderGUID","nvarchar","20","YES","","GUID"
"RelayArchive","OrderWeight","int","","YES","",""
"RelayArchive","DateArchived","datetime","","YES","",""
"RelayArchive","RetiredDate","datetime","","YES","",""
"RelayArchive","eServiceStatus","int","","YES","",""
"RelayArchive","SynchWriteDate","datetime","","YES","",""
"RelayArchive","StatFlg","int","","YES","",""
"RelayArchive","bLocked","tinyint","","YES","",""
"RelayArchive","LockInfo","nvarchar","-1","YES","",""
"RelayManufModel","RelayGUID","nvarchar","20","NO","PK","GUID"
"RelayManufModel","ManufData","nvarchar","80","YES","",""
"RelayManufModel","ModelData","nvarchar","80","YES","",""
"RelayManufModel","DateModified","datetime","","YES","",""
"RelayManufModel","UserGUID","nvarchar","80","YES","","GUID"
"RelayManufModel","SynchWriteDate","datetime","","YES","",""
"ResultAttribute","ResultsGUID","nvarchar","20","NO","PK","GUID"
"ResultAttribute","Name","nvarchar","100","NO","PK",""
"ResultAttribute","StrVal","nvarchar","255","YES","",""
"ResultAttribute","FpVal","float","","YES","",""
"ResultAttribute","DateModified","datetime","","YES","",""
"ResultAttribute","SynchWriteDate","datetime","","YES","",""
"ResultAttribute","Type","int","","YES","",""
"ResultAttribute","LastModBy","nvarchar","20","YES","",""
"Results_Digital","TestId","int","","YES","",""
"Results_Digital","EventNumber","int","","YES","",""
"Results_Digital","EventTime","float","","YES","",""
"Results_Digital","InputMask","int","","YES","",""
"Results_Digital","OutputMask","int","","YES","",""
"Results_Digital","TcmIndex","int","","YES","",""
"Results_FP","ColumnId","int","","NO","PK",""
"Results_FP","RecordNdx","int","","NO","PK",""
"Results_FP","FpValue","float","","YES","",""
"Results_Graph","TestId","int","","YES","",""
"Results_Graph","GraphImage","varbinary","-1","YES","",""
"Results_Header","ResultsGUID","nvarchar","20","NO","PK","GUID"
"Results_Header","RelayGUID","nvarchar","20","YES","","GUID"
"Results_Header","TestDate","datetime","","YES","",""
"Results_Header","FormTestDate","datetime","","YES","",""
"Results_Header","FormTestTime","datetime","","YES","",""
"Results_Header","Tester","nvarchar","80","YES","",""
"Results_Header","JobGUID","nvarchar","20","YES","","GUID"
"Results_Header","ValueCrc","int","","YES","",""
"Results_Header","EquipmentLocation","nvarchar","80","YES","",""
"Results_Header","NumOfPages","int","","YES","",""
"Results_Header","DataEntrySeconds","int","","YES","",""
"Results_Header","DateCreated","datetime","","YES","",""
"Results_Header","Comments","nvarchar","-1","YES","",""
"Results_Header","Deficiencies","nvarchar","-1","YES","",""
"Results_Header","Recommendations","nvarchar","-1","YES","",""
"Results_Header","CorrectiveActions","nvarchar","-1","YES","",""
"Results_Header","Org1","nvarchar","80","YES","",""
"Results_Header","Org2","nvarchar","80","YES","",""
"Results_Header","Org3","nvarchar","80","YES","",""
"Results_Header","Org4","nvarchar","80","YES","",""
"Results_Header","Org5","nvarchar","80","YES","",""
"Results_Header","Org6","nvarchar","80","YES","",""
"Results_Header","Org7","nvarchar","80","YES","",""
"Results_Header","Org8","nvarchar","80","YES","",""
"Results_Header","ResultDataObj","varbinary","-1","YES","",""
"Results_Header","SettingsDataObj","varbinary","-1","YES","",""
"Results_Header","GenDataObj","varbinary","-1","YES","",""
"Results_Header","NpDataObj","varbinary","-1","YES","",""
"Results_Header","NpManDataObj","varbinary","-1","YES","",""
"Results_Header","NpMdlDataObj","varbinary","-1","YES","",""
"Results_Header","TrendDataObj","varbinary","-1","YES","",""
"Results_Header","TrendTags","nvarchar","-1","YES","",""
"Results_Header","SerialNum","nvarchar","-1","YES","",""
"Results_Header","DateSynch","datetime","","YES","",""
"Results_Header","bIsDel","int","","YES","",""
"Results_Header","DeleteInfo","nvarchar","62","YES","",""
"Results_Header","bComplete","tinyint","","YES","",""
"Results_Header","UserDate0","datetime","","YES","",""
"Results_Header","UserDate1","datetime","","YES","",""
"Results_Header","UserDate2","datetime","","YES","",""
"Results_Header","UserNum0","int","","YES","",""
"Results_Header","UserNum1","int","","YES","",""
"Results_Header","UserNum2","int","","YES","",""
"Results_Header","UserNum3","int","","YES","",""
"Results_Header","UserNum4","int","","YES","",""
"Results_Header","UserStr0","nvarchar","80","YES","",""
"Results_Header","UserStr1","nvarchar","80","YES","",""
"Results_Header","UserStr2","nvarchar","80","YES","",""
"Results_Header","UserStr3","nvarchar","80","YES","",""
"Results_Header","UserStr4","nvarchar","80","YES","",""
"Results_Header","UserStr5","nvarchar","80","YES","",""
"Results_Header","UserStr6","nvarchar","80","YES","",""
"Results_Header","UserStr7","nvarchar","80","YES","",""
"Results_Header","UserStr8","nvarchar","80","YES","",""
"Results_Header","UserStr9","nvarchar","80","YES","",""
"Results_Header","RegionGuid","nvarchar","20","YES","","GUID"
"Results_Header","RegionDate","datetime","","YES","",""
"Results_Header","DeviceGuid","nvarchar","20","YES","","GUID"
"Results_Header","ArchivedDeviceGuid","nvarchar","20","YES","","GUID"
"Results_Header","LastModBy","nvarchar","20","YES","",""
"Results_Header","CreatorGuid","nvarchar","20","YES","","GUID"
"Results_Header","EqUsed","nvarchar","-1","YES","",""
"Results_Header","XmlData","nvarchar","-1","YES","",""
"Results_Header","WhoCompGuid","nvarchar","20","YES","","GUID"
"Results_Header","LastRptDate","datetime","","YES","",""
"Results_Header","AsFoundAsLeft","nvarchar","6","YES","",""
"Results_Header","eReviewStatus","int","","YES","",""
"Results_Header","TestStatusGUID","nvarchar","20","YES","","GUID"
"Results_Header","SynchWriteDate","datetime","","YES","",""
"Results_Header","StatFlg","int","","YES","",""
"Results_Header","bLocked","tinyint","","YES","",""
"Results_Header","LockInfo","nvarchar","-1","YES","",""
"Results_Info","ColumnId","int","","NO","PK",""
"Results_Info","TestId","int","","YES","",""
"Results_Info","Variable","nvarchar","50","YES","",""
"Results_Info","DisplayOrder","int","","YES","",""
"Results_Info","Units","nvarchar","50","YES","",""
"Results_Info","DecimalPlaces","int","","YES","",""
"Results_Info","IncludeInReport","int","","YES","",""
"Results_Info","ValAlignment","int","","YES","",""
"Results_Info","Width","int","","YES","",""
"Results_Info","Spaces","int","","YES","",""
"Results_Labels","TestId","int","","YES","",""
"Results_Labels","ColumnLabels","nvarchar","255","YES","",""
"Results_Labels","ColumnUnderscores","nvarchar","255","YES","",""
"Results_Print_Order","ResultsGUID","nvarchar","20","NO","PK","GUID"
"Results_Print_Order","OrderNum","int","","YES","",""
"Results_Print_Order","Weight","int","","YES","",""
"Results_Print_Order","bSupress","tinyint","","YES","",""
"Results_Print_Order","Prefix","nvarchar","10","YES","",""
"Results_Print_Order","SkipAfter","int","","YES","",""
"Results_Print_Order","PageNum","int","","YES","",""
"Results_Print_Order","PrefixPageCount","int","","YES","",""
"Results_Sequence","TestId","int","","NO","PK",""
"Results_Sequence","ResultsGUID","nvarchar","20","YES","","GUID"
"Results_Sequence","TestSeqNum","int","","YES","",""
"Results_Sequence","TestNumberId","int","","YES","",""
"Results_Sequence","GroupName","nvarchar","30","YES","",""
"Results_Sequence","TestName","nvarchar","100","YES","",""
"Results_Sequence","DisplayOrder","int","","YES","",""
"Results_Sequence","UnitsOnTop","int","","YES","",""
"Results_Sequence","Notes","nvarchar","80","YES","",""
"Results_Sequence","DisplayLabels","int","","YES","",""
"Results_Settings","ResultsGUID","nvarchar","20","NO","PK","GUID"
"Results_Settings","GroupName","nvarchar","50","NO","PK",""
"Results_Settings","SettingName","nvarchar","50","NO","PK",""
"Results_Settings","GroupDisplayOrder","int","","YES","",""
"Results_Settings","SettingDisplayOrder","int","","YES","",""
"Results_Settings","StringValue","nvarchar","80","YES","",""
"Results_Settings","Comments","nvarchar","255","YES","",""
"Results_Settings","bInitialized","int","","YES","",""
"Results_String","ColumnId","int","","NO","PK",""
"Results_String","RecordNdx","int","","NO","PK",""
"Results_String","StringValue","nvarchar","255","YES","",""
"Results_Values","TestId","int","","YES","",""
"Results_Values","RecordNdx","int","","YES","",""
"Results_Values","Col01","nvarchar","25","YES","",""
"Results_Values","Col02","nvarchar","25","YES","",""
"Results_Values","Col03","nvarchar","25","YES","",""
"Results_Values","Col04","nvarchar","25","YES","",""
"Results_Values","Col05","nvarchar","25","YES","",""
"Results_Values","Col06","nvarchar","25","YES","",""
"Results_Values","Col07","nvarchar","25","YES","",""
"Results_Values","Col08","nvarchar","25","YES","",""
"Results_Values","Col09","nvarchar","25","YES","",""
"Results_Values","Col10","nvarchar","25","YES","",""
"Results_Values","AllCols","nvarchar","100","YES","",""
"ResultsDelta","DeltaGUID","nvarchar","20","NO","PK","GUID"
"ResultsDelta","ResultsGUID","nvarchar","20","YES","","GUID"
"ResultsDelta","DeltaDate","datetime","","YES","",""
"ResultsDelta","UserGUID","nvarchar","80","YES","","GUID"
"ResultsDelta","DeltaData","nvarchar","-1","YES","",""
"ResultsDelta","DataEntrySeconds","int","","YES","",""
"ResultsDelta","SynchWriteDate","datetime","","YES","",""
"ResultsDeltaCompressed","DeltaGUID","nvarchar","20","NO","PK","GUID"
"ResultsDeltaCompressed","TagName","nvarchar","80","NO","PK",""
"ResultsDeltaCompressed","CompressedObj","varbinary","-1","YES","",""
"ResultsDeltaCompressed","ObjType","int","","YES","",""
"ResultsDeltaCompressed","ObjCrc","int","","YES","",""
"ResultsDeltaCompressed","SynchWriteDate","datetime","","YES","",""
"ResultsHdrBinary_HIST","ResultsGUID","nvarchar","20","NO","PK","GUID"
"ResultsHdrBinary_HIST","ResultDataObj","varbinary","-1","YES","",""
"ResultsHdrBinary_HIST","SettingsDataObj","varbinary","-1","YES","",""
"ResultsHdrBinary_HIST","GenDataObj","varbinary","-1","YES","",""
"ResultsHdrBinary_HIST","NpDataObj","varbinary","-1","YES","",""
"ResultsHdrBinary_HIST","NpManDataObj","varbinary","-1","YES","",""
"ResultsHdrBinary_HIST","NpMdlDataObj","varbinary","-1","YES","",""
"ResultsHdrBinary_HIST","TrendDataObj","varbinary","-1","YES","",""
"Test_Report","TestProcId","int","","NO","PK",""
"Test_Report","DeviceGUID","nvarchar","20","YES","","GUID"
"Test_Report","DisplayOrder","nvarchar","80","YES","",""
"Test_Report","TestName","nvarchar","80","YES","",""
"Test_Report","TestComments","nvarchar","80","YES","",""
"Test_Report_Attrib","ID","int","","NO","",""
"Test_Report_Attrib","ControlId","int","","YES","",""
"Test_Report_Attrib","Name","nvarchar","80","YES","",""
"Test_Report_Attrib","AttribValue","nvarchar","80","YES","",""
"Test_Report_Control","ControlId","int","","NO","PK",""
"Test_Report_Control","TestProcId","int","","YES","",""
"Test_Report_Control","Name","nvarchar","80","YES","",""
"Test_Report_Control","Comment","nvarchar","80","YES","",""
"Test_Report_Control","HasLinks","int","","YES","",""
"Test_Report_Link","ID","int","","NO","",""
"Test_Report_Link","ControlId","int","","YES","",""
"Test_Report_Link","Direction","nvarchar","80","YES","",""
"Test_Report_Link","ControlName","nvarchar","80","YES","",""
"Test_Report_Link","SourceBar","nvarchar","80","YES","",""
"Test_Report_Link","TargetBar","nvarchar","80","YES","",""
"UserAccountContractor","UserGUID","nvarchar","20","NO","PK","GUID"
"UserAccountContractor","UserName","nvarchar","80","YES","",""
"UserAccountContractor","FullName","nvarchar","160","YES","",""
"UserAccountContractor","Description","nvarchar","160","YES","",""
"UserAccountContractor","Passwrd","nvarchar","120","YES","",""
"UserAccountContractor","Privilege","int","","YES","",""
"UserAccountContractor","bUserMustChange","int","","YES","",""
"UserAccountContractor","bUserCannotChange","int","","YES","",""
"UserAccountContractor","bAccountDisabled","int","","YES","",""
"UserAccountContractor","DateModified","datetime","","YES","",""
"UserAccountContractor","DateCreated","datetime","","YES","",""
"UserAccountContractor","bIsDel","int","","YES","",""
"UserAccountContractor","DeleteInfo","nvarchar","62","YES","",""
"UserAccountContractor","RegionGuid","nvarchar","20","YES","","GUID"
"UserAccountContractor","RegionDate","datetime","","YES","",""
"UserAccountContractor","PhoneNo","nvarchar","-1","YES","",""
"UserAccountContractor","Email","nvarchar","-1","YES","",""
"UserAccountContractor","CustomInfo1","nvarchar","-1","YES","",""
"UserAccountContractor","CustomInfo2","nvarchar","-1","YES","",""
"UserAccountContractor","CustomInfo3","nvarchar","-1","YES","",""
"UserAccountContractor","LastModBy","nvarchar","20","YES","",""
"UserAccountContractor","CreatorGuid","nvarchar","20","YES","","GUID"
"UserAccountContractor","PswdChngDate","datetime","","YES","",""
"UserAccountContractor","PrevPasswrd1","nvarchar","120","YES","",""
"UserAccountContractor","PrevPasswrd2","nvarchar","120","YES","",""
"UserAccountContractor","PrevPasswrd3","nvarchar","120","YES","",""
"UserAccountContractor","PrevPasswrd4","nvarchar","120","YES","",""
"UserAccountContractor","FeatureMask","int","","YES","",""
"UserAccountContractor","AdSid","nvarchar","200","YES","",""
"UserAccountContractor","SynchWriteDate","datetime","","YES","",""
"UserAccountContractor","StatFlg","int","","YES","",""
"UserAccountContractor","bLocked","tinyint","","YES","",""
"UserAccountContractor","LockInfo","nvarchar","-1","YES","",""
